@N: MF284 |Setting synthesis effort to medium for the design
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[19] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[20] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[21] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[22] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[23] (in view: work.fifo_24s_32s_6s_2(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[0] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[1] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[2] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[3] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[4] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[5] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[6] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[7] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[8] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[9] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[10] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[11] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[12] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[13] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[14] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[15] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[16] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[17] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[18] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[19] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[20] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[21] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[22] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance dout[23] (in view: work.fifo_24s_32s_6s_3(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: FA101 |Net "reset" with "100" loads has been buffered by "3" buffers due to hard fanout limit of "30" 
@N: BW103 |The default time unit for the Synopsys Constraint File (SDC or FDC) is 1ns.
@N: BW107 |Synopsys Constraint File capacitance units using default value of 1pF 
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
@N: FA174 |The following device usage report estimates place and route data. Please look at the place and route report for final resource usage.
